2025-04-26 23:31,Popcorn: prediction of short coding and noncoding genomic sequences in prokaryotes.,"Alison Kyrouz, Lian Liu, Lixin Qin, Brian Tjaden",PubMed,2025-04-25,,"The most challenging prokaryotic genes to identify often correspond to short ORFs (sORFs) encoding small proteins or to noncoding RNAs. RNA-seq experiments commonly evince small transcripts that do not correspond to annotated genes and are candidates for novel coding sORFs or small regulatory RNAs, but it can be difficult to accurately assess whether the numerous small transcripts are coding or not. We present Popcorn (PrOkaryotic Prediction of Coding OR Noncoding), a novel machine learning method for determining whether prokaryotic sequences are coding or noncoding. We find that Popcorn is effective in distinguishing coding from noncoding sequences, including coding sORFs and noncoding RNAs.",https://pubmed.ncbi.nlm.nih.gov/40279271/,"machine learning, bioinformatics, genomics"
2025-04-26 23:31,"High-throughput screening data generation, scoring and FAIRification: a case study on nanomaterials.","Gergana Tancheva, Vesa Hongisto, Konrad Patyra, Luchesar Iliev, Nikolay Kochev, Penny Nymark, Pekka Kohonen, Nina Jeliazkova, Roland Grafström",PubMed,2025-04-23,,"In vitro-based high-throughput screening (HTS) technology is applicable to hazard-based ranking and grouping of diverse agents, including nanomaterials (NMs). We present a standardized HTS-derived human cell-based testing protocol which combines the analysis of five assays into a broad toxic mode-of-action-based hazard value, termed Tox5-score. The overall protocol includes automated data FAIRification, preprocessing and score calculation. A newly developed Python module ToxFAIRy can be used independently or within an Orange Data Mining workflow that has custom widgets for fine-tuning, included in the custom-developed Orange add-on Orange3-ToxFAIRy. The created data-handling workflow has the advantage of facilitated conversion of the FAIR HTS data into the NeXus format, capable of integrating all data and metadata into a single file and multidimensional matrix amenable to interactive visualizations and selection of data subsets. The resulting FAIR HTS data includes both raw and interpreted data (scores) in machine-readable formats distributable as data archive, including into the eNanoMapper database and Nanosafety Data Interface. We overall present a HTS-driven FAIRifed computational assessment tool for hazard analysis of multiple agents simultaneously, including with broad potential applicability across diverse scientific communities.Scientific Contribution Our study represents significant tool development for analyzing multiple materials hazards rapidly and simultaneously, aligning with regulatory recommendations and addressing industry needs. The innovative integration of in vitro-based toxicity scoring with automated data preprocessing within FAIRification workflows enhances the applicability of HTS-derived data application in the materials development community. The protocols described increase the effectiveness of materials toxicity testing and mode-of-action research by offering an alternative to manual data processing, enrichment of HTS data with metadata, refining testing methodologies-such as for bioactivity-based grouping-and overall, demonstrates the value of reusing existing data.",https://pubmed.ncbi.nlm.nih.gov/40269950/,"bioinformatics, workflow, automated"
2025-04-26 23:31,OSaMPle workflow for salivary metaproteomics analysis reveals dysbiosis in inflammatory bowel disease patients.,"Jinhui Yuan, Boyan Sun, Murong Li, Congyi Yang, Lingqiang Zhang, Ning Chen, Feng Chen, Leyuan Li",PubMed,2025-04-23,,"The human oral microbiome has been associated with multiple inflammatory conditions including inflammatory bowel disease (IBD). Identifying functional changes in oral microbiome by metaproteomics helps understanding the factors driving dysbiosis related to intestinal diseases. However, enriching bacterial cells from oral samples (such as saliva and mouth rinse) rich in host proteins is challenging. Here, we present an Optimized Salivary MetaProteomic sample analysis workflow (OSaMPle) to enrich salivary bacteria and reduce host-derived interferences for in-depth analysis of the oral metaproteome. Compared to a conventional approach, OSaMPle improved the identification of bacterial peptides and proteins by 3.2 folds and 1.7 folds, respectively. Furthermore, applying OSaMPle to analyze mouth rinse samples from IBD patients revealed significant alterations in bacterial protein expressions under disease conditions. Specifically, proteins involved in the fatty acid elongation pathway in Peptostreptococcus were significantly less abundant in IBD patients, whereas proteins associated with the TCA cycle in Neisseria were significantly more abundant. The OSaMPle workflow is capable of processing small-volume oral samples and adaptable to high-throughput automation. It holds promise as a strategy for investigating the functional responses of oral microbiomes under disease conditions and identifying disease-associated microbes with their proteins, providing critical insights for detecting disease-related biomarkers within the oral microbiome.",https://pubmed.ncbi.nlm.nih.gov/40268913/,"bioinformatics, workflow, automated"
2025-04-26 23:31,Prioritization of novel anti-infective stilbene derivatives by combining metabolomic data organization and a stringent 3R-infection model in a knowledge graph.,"Kirchhoffer OA, Quirós-Guerrero L, Nitschke J, Nothias LF, Burdet F, Marcourt L, Hanna N, Mehl F, David B, Grondin A, Queiroz EF, Pagni M, Soldati T, Wolfender JL.",MED,2025-04-23,,"The rising threat of multidrug-resistant tuberculosis, caused by Mycobacterium tuberculosis, underscores the urgent need for new therapeutic solutions to tackle the challenge of antibiotic resistance. The current study utilized an innovative 3R infection model featuring the amoeba Dictyostelium discoideum infected with Mycobacterium marinum, serving as stand-ins for macrophages and M. tuberculosis, respectively. This high-throughput phenotypic assay allowed for the evaluation of more specific anti-infective activities that may be less prone to resistance mechanisms. To discover novel anti-infective compounds, a diverse collection of 1600 plant NEs from the Pierre Fabre Library was screened using the latter assay. Concurrently, these NEs underwent untargeted UHPLC-HRMS/MS analysis. The biological screening flagged the NE from Stauntonia brunoniana as one of the anti-infective hit NEs. High-resolution HPLC micro-fractionation coupled with bioactivity profiling was employed to highlight the natural products driving this bioactivity. Stilbenes were eventually identified as the primary active compounds in the bioactive fractions. A knowledge graph was then used to leverage the heterogeneous data integrated into it to make a rational selection of stilbene-rich NEs. Using both CANOPUS chemical classes and Jaccard similarity indices to compare features within the metabolome of the 1600 plant NEs collection, 14 NEs rich in stilbenes were retrieved. Among those, the roots of Gnetum edule were flagged as possessing broader chemo-diversity in their stilbene content, along with the corresponding NE also being a strict anti-infective. Eventually, a total of 11 stilbene oligomers were isolated from G. edule and fully characterized by NMR with their absolute stereochemistry established through electronic circular dichroism. Six of these compounds are new since they possess a stereochemistry which was never described in the literature to the best of our knowledge. All of them were assessed for their anti-infective activity and (-)-gnetuhainin M was reported as having the highest anti-infective activity with an IC50 of 22.22 μM.",https://pubmed.ncbi.nlm.nih.gov/40271414/,"bioinformatics, workflow, automated"
2025-04-26 23:31,Directing stem cell differentiation by chromatin state approximation,"Montano-Gutierrez, L. F., Mueller, S., Kutschat, A. P., Seruggia, D., Halbritter, F.",bioRxiv,2025-04-25,,"A prime goal of regenerative medicine is to replace dysfunctional cells in the body. To design protocols for producing target cells in the laboratory, one may need to consider exponentially large combinations of culture components. Here, we investigated the potential of iteratively approximating the target phenotype by quantifying the distance between chromatin profiles (ATAC-seq) of differentiating cells in vitro and their in-vivo counterparts. We tested this approach on the well-studied generation of erythroblasts from haematopoietic stem cells, evaluating a fixed number of components over two sequential differentiation rounds (8x8 protocols). We found that the most erythroblast-like cells upon the first round yielded the most erythroblast-like cells at the second round, suggesting that greedy selection by chromatin approximation can be a viable optimisation strategy. Furthermore, by analysing regulatory sequences in incompletely reprogrammed chromatin regions, we uncovered transcriptional regulators linked to roadblocks in differentiation and made a data-driven selection of ligands that further improved erythropoiesis. In future, our methodology can help craft notoriously difficult cells in vitro, such as B cells.",https://www.biorxiv.org/content/10.1101/2025.04.24.650451v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,"DNA Methylation Dynamics of Dose-dependent Acute Exercise, Training Adaptation, and Detraining","Hariharan, M., Patel, S., Song, H., Rehman, A., Barragan, C., Bartlett, A., Castanon, R., Nery, J., Rothenberg, V., Chen, H., Tian, W., Ding, W., Wang, W., McAdam, J., Graham, Z., Lavin, K., Bamman, M., Broderick, T., Ecker, J.",bioRxiv,2025-04-25,,"Exercise and diet are direct physical contributors to human health, wellness, resilience, and performance [1-5]. Endurance and resistance training are known to improve healthspan through various biological processes such as mitochondrial function [6-8], telomere maintenance [9], and inflammaging [10]. Although several training prescriptions have been defined with specific merits [1,10-20], the long-term effects of these in terms of their molecular alterations have not yet been well explored. In this study, we focus on two combined endurance and resistance training programs: (1) traditional moderate-intensity continuous endurance and resistance exercise (TRAD) and (2) a variation of high-intensity interval training (HIIT) we refer to as high intensity tactical training (HITT), to assess the dynamics of DNA methylation (DNAm) in blood and muscle derived from males (N=23) and females (N=31), over a 12-week period of training followed by a 4-week period of detraining, sampled at pre-exercise and acute time points, totaling 528 samples. Due to its rapid responsiveness to stimuli and its stability, DNAm has been known to facilitate regulatory cascades that significantly affect various physiological processes and pathways. We find that several thousand differentially methylated regions (DMRs) associated with acute exercise in blood, many of which are shared across males and females. This trend is reversed when comparing the baseline (pre-exercise) time points or post-exercise timepoints at the untrained state with those at the post-conditioned state. Here, muscle shows majority of DNAm changes, with most of those being unique. We also find several hundred memory DMRs in muscle that maintain the gain or loss of methylation after four weeks of inactivity. Comparing phenotypic measurements, we find specific DMRs that correlate significantly with mitochondrial function and myofiber switching. Using machine learning, we select a subset of DMRs that are most characteristic of training modalities, sex and timepoint. Most of the DMRs are enriched in pathways associated with immune function, cell differentiation, and exercise adaptation. These findings reveal mechanisms by which exercise- and training-induced epigenetic changes alter immune surveillance, mitochondrial function, and inflammatory response, and underscore the relevance of epigenetic plasticity to health monitoring and wellness.",https://www.biorxiv.org/content/10.1101/2025.04.22.650067v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,MiT4SL: multi-omics triplet representation learning for cancer cell line-adapted prediction of synthetic lethality,"Tao, S., Feng, Y., Yang, Y., Wu, M., Zheng, J.",bioRxiv,2025-04-25,,"Synthetic lethality (SL) offers a promising approach for targeted cancer therapies. Current SL prediction models heavily rely on extensive labeled data for specific cell lines to accurately identify SL pairs. However, a major limitation is the scarcity of SL labels across most cell lines, which makes it challenging to predict SL pairs for target cell lines with limited or even no available labels in real-world scenarios. Furthermore, gene interactions could be opposite between training and test cell lines, i.e. SL vs. non-SL, which further aggravates the challenge of generalization among cell lines. A promising strategy is to transfer knowledge learned from cell lines with relatively abundant SL labels to those with limited SL labels for the discovery of novel SL pairs, i.e., cell line-adapted SL prediction. Here, we propose MiT4SL, a multi-omics triplet representation learning model for cell line-adapted SL prediction. The core idea of MiT4SL is to model cell lineage information as embeddings, which are generated by combining a protein-protein interaction network representation tailored to each cell line with the corresponding protein sequence embeddings. We then combine these cell line embeddings with gene pair representations derived from a biomedical knowledge graph and protein sequences. This triplet representation learning strategy enables MiT4SL to capture both shared biological mechanisms across cell lines and those unique to each cell line, effectively mitigating distribution shift and improving generalization to target cell lines. Additionally, explicit cell line embeddings provide the necessary signals for MiT4SL to effectively differentiate between cell line contexts, enabling it to adjust predictions and mitigate possible label conflicts for the same gene pair across different cell lines. Experimental results across various cell line-adapted scenarios show that MiT4SL outperforms six state-of-the-art models. To the best of our knowledge, MiT4SL is the first deep learning model designed specifically for cancer cell line-adapted SL prediction.",https://www.biorxiv.org/content/10.1101/2025.04.20.649694v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,Reference-guided genome assembly at scale using ultra-low-coverage high-fidelity long-reads with HiFiCCL,"Jiang, Z., Pan, W., Gao, R., Hu, H., Gao, W., Zhou, M., Yin, Y.-H., Qian, Z., Jin, S., Wang, G.",bioRxiv,2025-04-24,,"Population genomics using short-read resequencing captures single nucleotide polymorphisms and small insertions and deletions but struggles with structural variants (SVs), leading to a loss of heritability in genome-wide association studies. In recent years, long-read sequencing has improved pangenome construction for key eukaryotic species, addressing this issue to some extent. Sufficient-coverage high-fidelity (HiFi) data for population genomics is often prohibitively expensive, limiting its use in large-scale populations and broader eukaryotic species and creating an urgent need for robust ultra-low coverage assemblies. However, current assemblers underperform in such conditions. To address this, we propose HiFiCCL, the first assembly framework specifically designed for ultra-low-coverage high-fidelity reads, using a reference-guided, chromosome-by-chromosome assembly approach. We demonstrate that HiFiCCL improves ultra-low-coverage assembly performance of existing assemblers and outperforms the state-of-the-art assemblers on human and plant datasets. Tested on 45 human datasets (~5x coverage), HiFiCCL combined with hifiasm reduces the length of misassembled contigs relative to hifiasm by an average of 21.19% and up to 38.58%. These improved assemblies enhance germline structural variant detection, reduce chromosome-level mis-scaffolding, enable more accurate pangenome graph construction, and improve the detection of rare and somatic structural variants based on the pangenome graph under ultra-low-coverage conditions.",https://www.biorxiv.org/content/10.1101/2025.04.20.649739v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,Attention-Based Solution for Synergistic Virus Combination Therapy,"Majidifar, S., Hooshmand, M.",bioRxiv,2025-04-24,,"Computational drug repurposing is vital in drug discovery research because it significantly reduces both the cost and time involved in the drug development process. Additionally, combination therapy--using more than one drug for treatment--can enhance efficacy and minimize the side effects associated with individual drugs. However, there is currently limited research focused on computational approaches to combination therapy for viral diseases. This paper proposes AI-based models to predict novel drug combinations that can synergistically treat viral diseases. To achieve this, we have compiled a comprehensive dataset containing information on viruses, drug compounds, and their approved interactions. We introduce two attention-based models and compare their performance with traditional machine learning and deep learning models in predicting synergistic drug pairs for treating viral diseases. Among all the methods tested, the random forest algorithm and one of the attention-based models utilizing a customized dot product as a predictor showed the highest performance. Notably, two predicted combinations--acyclovir + ribavirin and acyclovir + Pranobex Inosine--have been experimentally validated to produce a synergistic antiviral effect against the herpes simplex virus type 1, as reported in existing literature.",https://www.biorxiv.org/content/10.1101/2025.04.22.649915v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,Task Splitting and Prompt Engineering for Cypher Query Generation in Domain-Specific Knowledge Graphs,"Soleymani, S., Gravel, N. M., Kochut, K., Kannan, N.",bioRxiv,2025-04-24,,"The integration of large language models (LLMs) with knowledge graphs (KGs) holds significant potential for simplifying the process of querying graph databases, especially for non-technical users. KGs provide a structured representation of domain-specific data, enabling rich and precise information retrieval. However, the complexity of graph query languages, such as Cypher, presents a barrier to their effective use by non-experts. This research addresses the challenge by proposing a novel approach, Prompt2Cypher (P2C), which leverages task splitting and prompt engineering to decompose user queries into manageable subtasks, enhancing LLMs ability to generate accurate Cypher queries that align with the underlying graph database schema. We demonstrate the effectiveness of P2C in two biological KGs (protein kinase and ion-channel) that differ in size, schema and complexity. Compared to a baseline approach, our method improves query accuracy, as demonstrated by higher Precision, Recall, F1-score, and Jaccard similarity metrics. This work contributes to the ongoing efforts to bridge the gap between domain-specific knowledge graphs and user-friendly graph database query interfaces.",https://www.biorxiv.org/content/10.1101/2025.04.23.649790v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,Comparative analysis of genomic prediction approaches for multiple time-resolved traits in maize,"Hobby, D., Lindner, R., Mbebi, A. J., Tong, H., Nikoloski, Z.",bioRxiv,2025-04-24,,"Ability to accurately predict multiple growth-related traits over plant developmental trajectories has the potential to revolutionize crop breeding and precision agriculture. Despite increased availability of time-resolved data for multiple traits from high-throughput phenotyping platforms of model plants and crops, genomic prediction is largely applied to a small number of traits, often neglecting their dynamics. Here, we compared and contrasted the performance of MegaLMM and dynamicGP as well as their hybrid variants that can handle high-dimensional temporal data for multi-trait genomic prediction. The comparative analysis made use of time series for 50 geometric, colour, and texture traits in a maize multiparent advanced generation inter-cross (MAGIC) population. The performance of the approaches was assessed using snapshot accuracy and longitudinal accuracy, providing insight into the ability to predict multiple traits at a single time point or the dynamics of individual traits over the considered time domain, respectively. We found that MegaLMM outperforms dynamicGP in terms of snapshot accuracy, while dynamicGP proved superior in terms of longitudinal accuracy. This study paves the way for careful investigation of factors that affect the capacity to predict dynamics of multiple traits from genetic markers alone.",https://www.biorxiv.org/content/10.1101/2025.04.22.649925v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,BioMiner: A Multi-modal System for Automated Mining of Protein-Ligand Bioactivity Data from Literature,"Yan, J., Zhu, J., Yang, Y., Liu, Q., Zhang, K., Zhang, Z., Liu, X., Zhang, B., Gao, K., Xiao, J., Chen, E.",bioRxiv,2025-04-24,,"Protein-ligand bioactivity data published in literature are essential for drug discovery, yet manual curation struggles to keep pace with rapidly growing literature. Automated bioactivity extraction is challenging due to the multi-modal distribution of information (text, tables, figures, structures) and the complexity of chemical representations (e.g., Markush structures). Furthermore, the lack of standardized benchmarks impedes the evaluation and development of extraction methods. In this work, we introduce BioMiner, a multi-modal system designed to automatically extract protein-ligand bioactivity data from thousands to potentially millions of publications. BioMiner employs a modular, agent-based architecture, leveraging a synergistic combination of multi-modal large language models, domain-specific models, and domain tools to navigate this complex extraction task. To address the benchmark gap and support method development, we establish BioVista, a comprehensive benchmark comprising 16,457 bioactivity entries and 8,735 chemical structures curated from 500 publications. On BioVista, BioMiner validates its extraction ability and provides a quantitative baseline, achieving F1 scores of 0.22, 0.45, and 0.53 for bioactivity triplets, chemical structures, and bioactivity measurement with high throughput (14s/paper on 8 V100 GPUs). We further demonstrate BioMiner's practical utility via three applications: (1) extracting 67,953 data from 11,683 papers to build a pre-training database that improves downstream models performance by 3.1%; (2) enabling a human-in-the-loop workflow that doubles the number of high-quality NLRP3 bioactivity data, helping 38.6% improvement over 28 QSAR models and identification of 16 hit candidates with novel scaffolds; and (3) accelerating the annotation of the protein-ligand structures in PoseBusters benchmark with reported bioactivity, achieving a 5-fold speed increase and 10% accuracy improvement over manual methods. BioMiner and BioVista provide a scalable extraction methodology and a rigorous benchmark, paving the way to unlock vast amounts of previously inaccessible bioactivity data and accelerate data-driven drug discovery.",https://www.biorxiv.org/content/10.1101/2025.04.22.648951v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,Assemblies of long-read metagenomes suffer from diverse errors,"Trigodet, F., Sachdeva, R., Banfield, J. F., Eren, A. M.",bioRxiv,2025-04-24,,"Genomes from metagenomes have revolutionised our understanding of microbial diversity, ecology, and evolution, propelling advances in basic science, biomedicine, and biotechnology. Assembly algorithms that take advantage of increasingly available long-read sequencing technologies bring the recovery of complete genomes directly from metagenomes within reach. However, assessing the accuracy of the assembled long reads, especially from complex environments that often include poorly studied organisms, poses remarkable challenges. Here we show that erroneous reporting is pervasive among long-read assemblers and can take many forms, including multi-domain chimeras, prematurely circularized sequences, haplotyping errors, excessive repeats, and phantom sequences. Our study highlights the need for rigorous evaluation of the algorithms while they are in development, and options for users who may opt for more accurate reads than shorter runtimes.",https://www.biorxiv.org/content/10.1101/2025.04.22.649783v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,High-quality metagenome assembly from nanopore reads with nanoMDBG,"Benoit, G., James, R., Raguideau, S., Alabone, G., Goodall, T., Chikhi, R., Quince, C.",bioRxiv,2025-04-24,,"Third-generation long-read sequencing technologies, have been shown to significantly enhance the quality of metagenome assemblies. The results obtained using the highly accurate reads generated by PacBio HiFi have been particularly notable yielding hundreds of circularized, complete genomes as metagenome-assembled genomes (MAGs) without manual intervention. Oxford Nanopore Technologies (ONT) has recently improved the accuracy of its sequencing reads, achieving a per-base error rate of approximately 1-2%. Given the high-throughput, convenience and low-cost of ONT sequencing this could accelerate the uptake of long read metagenomics. However, current metagenome assemblers are optimized for PacBio HiFi data and underperform on the latest ONT data and do not scale to the large data sets that it enables. We present nanoMDBG, an evolution of the metaMDBG HiFi assembler, designed to support newer ONT sequencing data through a novel pre-processing step that performs fast and accurate error correction in minimizer-space. Across a range of ONT datasets, including a large 400 Gbp soil sample sequenced specifically for this study, nanoMDBG reconstructs up to twice as many high-quality MAGs as the next best ONT assembler, metaflye, while requiring a third of the CPU time and memory. As a result of these advances, we show that the latest ONT technology can now produce results comparable to those obtained using PacBio HiFi sequencing at the same sequencing depth.",https://www.biorxiv.org/content/10.1101/2025.04.22.649928v1?rss=1,"bioinformatics, genomics"
2025-04-26 23:31,Engineering microbial consortia for distributed signal processing,"Duncker, K. E., Shende, A. R., Shyti, I., Ruan, A., D'Cunha, R., Ma, H. R., Venugopal Lavanya, H., Liu, S., Gottel, N., Anderson, D. J., Gunsch, C. K., You, L.",bioRxiv,2025-04-24,,"A critical goal in biology is deducing input signals from measurable readouts. Genetic circuits have successfully been designed to respond to specific analytes and produce quantifiable outputs; however, multiplexed signal processing remains challenging. This limitation is partially due to crosstalk, or sensors' non-specific responses to unintended signals. While strategies to achieve orthogonality are promising, they are time-intensive and context-dependent. Here, we introduce a new, generalizable approach that leverages microbial consortia to distribute sensory functions and computational methods to disentangle signals. Compartmentalizing sensor circuits within distinct populations simplifies experimental optimization by allowing individual populations to be exchanged without requiring genetic modifications. Our computational pipeline combines mechanistic modeling with machine learning to decode microbial communities' unique temporal responses and predict multiple input concentrations. We demonstrated this platform's versatility in a variety of contexts: measuring signals with high crosstalk, detecting antibiotics with natural microbial communities, and quantifying chemicals in hospital sink wastewater. Our findings highlight how combining microbial engineering with computational strategies can produce robust, scalable biosensors for diverse applications.",https://www.biorxiv.org/content/10.1101/2025.04.23.650302v1?rss=1,"bioinformatics, synthetic biology"
2025-04-26 23:31,AI-Based Antibody Design Targeting Recent H5N1 Avian Influenza Strains,"Santolla, N. F., Ford, C. T.",bioRxiv,2025-04-24,,"In 2025 alone, H5N1 avian influenza is responsible for thousands of infections across various animal species, including avian and mammalian livestock such as chickens and cows, and poses a threat to human health due to avian-to-mammalian transmission. There have been 70 human cases of H5N1 influenza in the United States since April 2024 and, as shown in recent studies, our current antibody defenses are waning. Thus, it is imperative to discover new therapeutics in the fight against more recent strains of the virus. In this study, we present the Frankies framework for automated antibody diffusion and assessment. This pipeline was used to automate the generation of 30 novel anti-HA1 Fv antibody fragment sequences, fold them into 3-dimensional structures, and then dock against a recent H5N1 HA1 antigen structure for binding evaluation. Here we show the utility of artificial intelligence in the discovery of novel antibodies against specific H5N1 strains of interest, which bind similarly to known therapeutic and elicited antibodies.",https://www.biorxiv.org/content/10.1101/2025.04.24.650061v1?rss=1,"bioinformatics, synthetic biology"
2025-04-26 23:31,Lipid flip flop regulates the shape of growing and dividing synthetic cells,"Lira, R. B., Dekker, C.",bioRxiv,2025-04-24,,"Cells grow their boundaries by incorporating newly synthesized lipids into their membranes as well as through fusion of intracellular vesicles. As these processes yield trans-bilayer imbalances in lipid numbers, cells must actively flip lipid molecules across the bilayer to enable growth. Using giant and small unilamellar vesicles (GUVs and SUVs, respectively), we here recapitulate cellular growth and division under various conditions of transmembrane flip flop of lipids. By dynamically monitoring the changes in reduced volume and spontaneous curvature of GUVs that grow by fusion of many small SUVs, the morphology of these growing synthetic cells is quantified. We demonstrate that lipid flip flop relaxes curvature stresses and yields more symmetrically sized buds. Further increasing the neck curvature is shown to lead to bud scission. The mechanisms presented here offer fundamental insights into cell growth and division, which are important for understanding early protocells and designing synthetic cells that are able to grow and divide.",https://www.biorxiv.org/content/10.1101/2025.04.23.650179v1?rss=1,"bioinformatics, synthetic biology"
2025-04-26 23:31,High-throughput engineering and modification of non-ribosomal peptide synthetases based on Golden Gate assembly,"Podolski, A., Lindeboom, T. A., Praeve, L., Kranz, J., Schindler, D., Bode, H. B.",bioRxiv,2025-04-24,,"Non-ribosomal peptide synthetases (NRPS) are multimodular enzymes that produce complex peptides with diverse biological activities, potentially being used as clinical drugs. However, the pharmaceutical applications of such natural peptides often require further derivatisation and modification of the peptide backbone, mainly performed by chemical synthesis. A sustainable alternative resembles the in vivo engineering of NRPS to change and modify the enzyme properties rationally and, thus, the produced products. The novel NRPS engineering concept, the eXchange Unit Thiolation domain (XUT), allows the efficient modular assembly of different natural NRPS fragments to form hybrid NRPS that produce defined peptides. In this study, we describe a Golden Gate assembly (GGA) method for efficient high-throughput generation of novel and engineered NRPS libraries utilising the XUT concept. This method was applied to generate over 100 novel NRPS with the possibility of changing starter, elongation, and termination modules, respectively. Additionally, we applied this method for targeted modification of the xenoamicin biosynthetic gene cluster (BGC) XabABCD from Xenorhabdus doucetiae, resulting in the generation of 25 novel xenoamicin derivatives.",https://www.biorxiv.org/content/10.1101/2025.04.23.650154v1?rss=1,"bioinformatics, synthetic biology"
2025-04-26 23:31,Conformation-specific Design: a New Benchmark and Algorithm with Application to Engineer a Constitutively Active MAP Kinase,"Stern, J., Alharbi, S., Sandholu, A., Arold, S. T., Della Corte, D.",bioRxiv,2025-04-24,,"AO_SCPLOWBSTRACTC_SCPLOWA general method for designing proteins with high conformational specificity is desirable for a variety of applications, including enzyme design and drug target redesign. To assess the ability of algorithms to design for conformational specificity, we introduce MotifDiv, a benchmark dataset of 200 conformational specificity design challenges. We also introduce CSDesign, an algorithm for designing proteins with high preference for a target conformation over an alternate conformation. On the MotifDiv benchmark, CSDesign designs protein sequences that are predicted to prefer the target conformation. We apply this method in vitro to redesign human MAP kinase ERK2, an enzyme with active and inactive conformations. Out of two designs for the active conformation, one increased activity sufficiently to retain activity in the absence of activating phosphorylations, a property not present in the wild type protein.",https://www.biorxiv.org/content/10.1101/2025.04.23.650138v1?rss=1,"bioinformatics, synthetic biology"
2025-04-26 23:31,Harnessing Coding Sequence Cleavage: Theophylline Aptazymes as Portable Gene Regulators in Bacteria,"Yurdusev, E., Nicole, Y., Pan Du, F., Suslu, N. E., Perreault, J.",bioRxiv,2025-04-24,,"Nucleic acid-based regulatory elements capable of modulating gene expression in response to specific molecular cues have gained increasing attention in synthetic biology. These systems, which include riboswitches, allosteric DNAzymes, and aptazymes, function as Gene Expression Nucleic Allosteric actuators (GENAs) by coupling molecular recognition with genetic regulation. Their versatility can enable applications in diagnostics, therapeutics, and metabolic engineering. This study presents a novel ""semi-trans"" aptazyme-based system for gene regulation in bacteria, expanding the range of GENAs. The system employs theophylline-responsive hammerhead ribozyme aptazymes positioned in the 5' UnTranslated Region (UTR), designed to cleave within the coding sequence of the target gene, thereby modulating gene expression in a ligand-dependent manner. Using the tetA gene in Escherichia coli (E. coli) as a proof of concept, we demonstrate ligand-controlled regulation of tetracycline resistance and nickel sensitivity. The system's effectiveness is validated through in vitro cleavage assays and in vivo phenotypic studies in two E. coli strains, highlighting its portability across genetic backgrounds. Furthermore, the ability to design multiple aptazymes targeting different coding regions enables complex and fine-tuned regulation. This work broadens the landscape of synthetic gene regulation tools, facilitating the development of new aptazymes based on this approach.",https://www.biorxiv.org/content/10.1101/2025.04.24.650125v1?rss=1,"bioinformatics, synthetic biology"
