"id","owner_id","vocabulary_id","local_name","label","comment"
"61","","3","Journal","Journal","A periodical of scholarly journal Articles."
"62","","3","LegalCaseDocument","Legal Case Document","A document accompanying a legal case."
"63","","3","LegalDecision","Decision","A document containing an authoritative determination (as a decree or judgment) made after consideration of facts or law."
"64","","3","LegalDocument","Legal Document","A legal document; for example, a court decision, a brief, and so forth."
"65","","3","Legislation","Legislation","A legal document proposing or enacting a law or a group of laws."
"66","","3","Letter","Letter","A written or printed communication addressed to a person or organization and usually transmitted by mail."
"67","","3","Magazine","Magazine","A periodical of magazine Articles. A magazine is a publication that is issued periodically, usually bound in a paper cover, and typically contains essays, stories, poems, etc., by many writers, and often photographs and drawings, frequently specializing in a particular subject or area, as hobbies, news, or sports."
"68","","3","Manual","Manual","A small reference book, especially one giving instructions."
"69","","3","Manuscript","Manuscript","An unpublished Document, which may also be submitted to a publisher for publication."
"70","","3","Map","Map","A graphical depiction of geographic features."
"71","","3","MultiVolumeBook","Multivolume Book","A loose, thematic, collection of Documents, often Books."
"72","","3","Newspaper","Newspaper","A periodical of documents, usually issued daily or weekly, containing current news, editorials, feature articles, and usually advertising."
"73","","3","Note","Note","Notes or annotations about a resource."
"74","","3","Patent","Patent","A document describing the exclusive right granted by a government to an inventor to manufacture, use, or sell an invention for a certain number of years."
"75","","3","Performance","Performance","A public performance."
"76","","3","Periodical","Periodical","A group of related documents issued at regular intervals."
"77","","3","PersonalCommunication","Personal Communication","A communication between an agent and one or more specific recipients."
"78","","3","PersonalCommunicationDocument","Personal Communication Document","A personal communication manifested in some document."
"79","","3","Proceedings","Proceedings","A compilation of documents published from an event, such as a conference."
"80","","3","Quote","Quote","An excerpted collection of words."
"81","","3","ReferenceSource","Reference Source","A document that presents authoritative reference information, such as a dictionary or encylopedia ."
"82","","3","Report","Report","A document describing an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc.."
"83","","3","Series","Series","A loose, thematic, collection of Documents, often Books."
"84","","3","Slide","Slide","A slide in a slideshow"
"85","","3","Slideshow","Slideshow","A presentation of a series of slides, usually presented in front of an audience with written text and images."
"86","","3","Standard","Standard","A document describing a standard"
"87","","3","Statute","Statute","A bill enacted into law."
"88","","3","Thesis","Thesis","A document created to summarize research findings associated with the completion of an academic degree."
"89","","3","ThesisDegree","Thesis degree","The academic degree of a Thesis"
"90","","3","Webpage","Webpage","A web page is an online document available (at least initially) on the world wide web. A web page is written first and foremost to appear on the web, as distinct from other online resources such as books, manuscripts or audio documents which use the web primarily as a distribution mechanism alongside other more traditional methods such as print."
"91","","3","Website","Website","A group of Webpages accessible on the Web."
"92","","3","Workshop","Workshop","A seminar, discussion group, or the like, that emphasizes zxchange of ideas and the demonstration and application of techniques, skills, etc."
"93","","4","LabelProperty","Label Property","A foaf:LabelProperty is any RDF property with texual values that serve as labels."
"94","","4","Person","Person","A person."
"95","","4","Document","Document","A document."
"96","","4","Organization","Organization","An organization."
"97","","4","Group","Group","A class of Agents."
"98","","4","Agent","Agent","An agent (eg. person, group, software or physical artifact)."
"99","","4","Project","Project","A project (a collective endeavour of some kind)."
"100","","4","Image","Image","An image."
"101","","4","PersonalProfileDocument","PersonalProfileDocument","A personal profile RDF document."
"102","","4","OnlineAccount","Online Account","An online account."
"103","","4","OnlineGamingAccount","Online Gaming Account","An online gaming account."
"104","","4","OnlineEcommerceAccount","Online E-commerce Account","An online e-commerce account."
"105","","4","OnlineChatAccount","Online Chat Account","An online chat account."
